Rounds,Fairway Percentage,Avg Distance,gir,Average Putts,Average Scrambling,Average SG Putts,SG:OTT,SG:APR,SG:ARG
72.0,66.23,282.2,63.05,28.97,60.36,0.176,-0.141,-0.511,0.213
70.0,66.2,280.2,63.89,29.5,60.14,-0.447,-0.244,0.099,0.031
90.0,66.01,294.0,66.67,29.47,60.04,-0.281,0.292,0.1969999999999999,-0.038
81.0,65.92,291.2,67.42,29.31,60.6,0.0,0.203,-0.123,-0.303
68.0,65.83,278.1,66.83,29.56,55.67,-0.478,-0.436,0.421,0.087
67.0,65.7,286.8,66.2,29.03,59.33,-0.126,-0.094,0.173,0.06
64.0,65.68,279.5,63.98,28.67,62.77,0.009,-0.289,-0.31,0.5379999999999999
102.0,65.51,286.2,65.26,28.52,65.15,0.049,-0.036,0.503,0.426
82.0,65.47,278.7,63.53,28.32,62.3,0.451,-0.417,-0.006,0.254
95.0,65.36,285.1,66.6,28.7,65.78,0.332,0.158,0.253,0.43
93.0,65.31,298.1,70.08,29.52,60.13,-0.026,0.502,0.301,0.14
90.0,65.29,293.0,67.06,29.28,56.55,-0.173,0.368,0.281,-0.1159999999999999
96.0,65.15,286.1,65.97,29.73,58.44,-0.276,-0.023,-0.337,0.218
92.0,65.11,291.5,67.12,29.35,59.14,-0.027,0.316,-0.122,-0.24
71.0,64.91,291.6,67.35,29.34,58.38,-0.357,0.308,0.146,0.0279999999999999
52.0,64.86,295.1,67.53,29.53,55.51,0.479,0.5820000000000001,0.231,-0.2769999999999999
83.0,64.82,296.1,65.61,28.92,60.94,0.253,0.235,0.139,0.203
54.0,64.81,298.0,66.89,29.44,54.03,-0.254,0.6859999999999999,-0.578,-0.6779999999999999
76.0,64.69,293.6,65.24,28.63,58.45,0.138,0.348,-0.136,-0.28
78.0,64.66,288.7,66.74,29.97,50.11,-0.514,-0.141,-0.1169999999999999,-0.493
92.0,64.09,287.1,65.78,29.0,63.65,0.124,-0.049,-0.02,0.043
89.0,63.93,287.0,66.73,29.18,54.73,-0.074,-0.315,0.1009999999999999,0.059
95.0,63.89,289.0,64.35,28.69,59.08,0.276,0.143,-0.225,-0.262
82.0,63.68,301.1,68.57,29.41,56.51,0.291,0.486,0.427,-0.436
88.0,63.68,287.1,67.53,29.74,60.29,-0.013,0.052,-0.092,-0.034
